Online MMD
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4/proto_ppg_percentile_group_layer_norm_kq_4-Proto-2026_05_14-21_57_34/mmd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
28                      64           500          16            4    4.280505
29                      64           500          32            2    4.222677
30                      64           500          32            4    5.005469
31                      64           500          32            8    3.269023
32                      64           500          64            2    3.457346
33                      64           500          64            4    4.878201
34                      64           500          64            8    4.077302
35                      64          1000          16            2    3.598019
36                      64          1000          16            4    4.031919
37                      64          1000          32            2    3.636830
38                      64          1000          32            4    5.444539
39                      64          1000          32            8    3.814905
40                      64          1000          64            2    5.359923
41                      64          1000          64            4    3.640730
42                      64          1000          64            8    5.691131
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4_seed_40/proto_ppg_percentile_group_layer_norm_kq_4_seed_40-Proto-2026_05_17-10_53_46/lsdd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    3.934579
1                       16           500          16            4    3.631705
2                       16           500          32            2    5.208318
3                       16           500          32            4    4.677075
4                       16           500          64            2    3.491619
5                       16           500          64            4    5.140842
6                       16          1000          16            2    5.919839
7                       16          1000          16            4    4.965614
8                       16          1000          32            2    5.632969
9                       16          1000          32            4    3.766480
10                      16          1000          64            2    5.129758
11                      16          1000          64            4    5.379495
12                      32           500          16            2    3.998970
13                      32           500          16            4    3.614238
14                      32           500          32            2    4.856758
15                      32           500          32            4    3.704566
16                      32           500          32            8    3.961040
17                      32           500          64            2    4.138100
18                      32           500          64            4    4.454529
19                      32           500          64            8    3.822651
20                      32          1000          16            2    3.834540
21                      32          1000          16            4    3.708266
22                      32          1000          32            2    4.060781
23                      32          1000          32            4    3.410411
24                      32          1000          32            8    3.741127
25                      32          1000          64            2    4.896541
26                      32          1000          64            4    3.482616
27                      32          1000          64            8    3.889532
28                      64           500          16            2    3.548668
29                      64           500          16            4    4.721492
30                      64           500          32            2    3.565981
31                      64           500          32            4    5.627593
32                      64           500          32            8    4.441506
33                      64           500          64            2    4.527401
34                      64           500          64            4    4.236529
35                      64           500          64            8    5.200802
36                      64          1000          16            2    3.409581
37                      64          1000          16            4    5.653007
38                      64          1000          32            2    4.733907
39                      64          1000          32            4    3.818650
40                      64          1000          32            8    2.814576
41                      64          1000          64            2    4.871288
42                      64          1000          64            4    3.713299
43                      64          1000          64            8    3.453875
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4_seed_41/proto_ppg_percentile_group_layer_norm_kq_4_seed_41-Proto-2026_05_17-12_44_45/lsdd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    4.086556
1                       16           500          16            4    4.329879
2                       16           500          32            2    6.848243
3                       16           500          32            4    7.556757
4                       16           500          64            2    6.028817
5                       16           500          64            4    5.160447
6                       16          1000          16            2    4.839634
7                       16          1000          16            4    4.213889
8                       16          1000          32            2    3.362080
9                       16          1000          32            4    4.697697
10                      16          1000          64            2    7.374928
11                      16          1000          64            4    5.149986
12                      32           500          16            2    3.662924
13                      32           500          16            4    5.446053
14                      32           500          32            2    5.367571
15                      32           500          32            4    6.093396
16                      32           500          32            8    3.709803
17                      32           500          64            2    5.039232
18                      32           500          64            4    5.532306
19                      32           500          64            8    5.486440
20                      32          1000          16            2    5.400487
21                      32          1000          16            4    3.560914
22                      32          1000          32            2    4.712919
23                      32          1000          32            4    5.485727
24                      32          1000          32            8    6.060295
25                      32          1000          64            2    5.282238
26                      32          1000          64            4    6.794532
27                      32          1000          64            8    5.058955
28                      64           500          16            2    3.651352
29                      64           500          16            4    4.139623
30                      64           500          32            2    5.114508
31                      64           500          32            4    6.424485
32                      64           500          32            8    4.855642
33                      64           500          64            2    4.816097
34                      64           500          64            4    3.098554
35                      64           500          64            8    3.476363
36                      64          1000          16            2    4.929718
37                      64          1000          16            4    4.740696
38                      64          1000          32            2    4.633504
39                      64          1000          32            4    4.475309
40                      64          1000          32            8    3.757242
41                      64          1000          64            2    4.380294
42                      64          1000          64            4    3.991083
43                      64          1000          64            8    3.731368
